id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1521947687083335682	1521947687083335682	2022-05-04 20:19:39 UTC	2022-05-04	20:19:39	+0000	1368870412851974146	putinmoskva1	Владимир Путин в Кремле		Minyak naik 4,75% menjadi $110, karena UE mengumumkan larangan minyak Rusia.  Pendapatan minyak Rusia tahun ini diperkirakan lebih dari $ 180 miliar.Akibat kenaikan harga Keuntungan Rusia akan bertambah lagi 45% lebih tinggi dari tahun lalu.  Rusia menang banyak. Lol😂	in	[]	[]	[]	2	27	190	[]	[]	https://twitter.com/putinmoskva1/status/1521947687083335682	False		0								[]				
1521893834552389632	1521454014650806272	2022-05-04 16:45:40 UTC	2022-05-04	16:45:40	+0000	1253905039	height178cm	bedu		@mr_aantiss padahal harga minyak lg naik tp harga bo masih stabil.	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/height178cm/status/1521893834552389632	False		0								[]				
1521882354205458433	1521498175256895488	2022-05-04 16:00:03 UTC	2022-05-04	16:00:03	+0000	869327120	partaisocmed	#99		Pesan mereka jelas, menuntut agar harga minyak goreng nasional harus disesuaikan dg harga internasional yg sedang naik atau pasokan dalam negeri dilangkakan. Tidak peduli seberapa berhutang budinya mereka pada Indonesia. Dan Jokowi pun mengalah pada aksi sabotase mereka!	in	[]	[]	[]	1	19	23	[]	[]	https://twitter.com/PartaiSocmed/status/1521882354205458433	False		0								[]				
1521879895449604098	1521879895449604098	2022-05-04 15:50:16 UTC	2022-05-04	15:50:16	+0000	2392460208	jawapos	Jawa Pos		Bisa Picu Harga Naik, Bulgaria Cari Pembebasan Embargo Uni Eropa atas Minyak Rusia  https://t.co/MMxgRjQX5g	in	[]	['https://manadopost.jawapos.com/international/04/05/2022/bisa-picu-harga-naik-bulgaria-cari-pembebasan-embargo-uni-eropa-atas-minyak-rusia/']	[]	0	0	0	[]	[]	https://twitter.com/jawapos/status/1521879895449604098	False		0								[]				
1521879422890295296	1521810476694667265	2022-05-04 15:48:24 UTC	2022-05-04	15:48:24	+0000	983929719501369344	seratuskardus	Kecuanan Yang Maha Esa		@Saham_fess Terpaksa sih nder biar harga juga bisa stabil terus balik ke titik ekulibrium lagi yang di dalem negri. Takutnya, nanti jadi makin banyak krisis misal inflasi yang bisa naik karna kelangkaan minyak.	in	[]	[]	[]	0	0	2	[]	[]	https://twitter.com/seratuskardus/status/1521879422890295296	False		0								[{'screen_name': 'Saham_fess', 'name': 'Sahamfess 📈', 'id': '1336580251493646343'}]				
1521874336759828480	1521696558055522305	2022-05-04 15:28:11 UTC	2022-05-04	15:28:11	+0000	1515360148398624774	dugaan_awal	Elsa Morin		"@fadilagunatria @aulmaulidiana Jawab aja ""kemarin harga minyak naik, tp disini bnyak kue lebaran yg digoreng, apa warga di kampung disini sudah menemukan alternatif pengganti minyak sawit?"""	in	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/dugaan_awal/status/1521874336759828480	False		0								[{'screen_name': 'fadilagunatria', 'name': 'Fadila Gunatria', 'id': '1066267955254579201'}, {'screen_name': 'aulmaulidiana', 'name': 'Cakegurl', 'id': '356190068'}]				
1521867459888041986	1521498175256895488	2022-05-04 15:00:52 UTC	2022-05-04	15:00:52	+0000	869327120	partaisocmed	#99		Diawali dari kenaikan harga CPO di pasar internasional tahun lalu yg diikuti dgn kenaikan harga minyak goreng dalam negeri. Alasannya klasik, biaya produksi naik. Tapi alasan ini tidak masuk akal karena dari hulu hingga hilir produksi minyak goreng sepenuhnya di Indonesia.	in	[]	[]	[]	2	16	24	[]	[]	https://twitter.com/PartaiSocmed/status/1521867459888041986	False		0								[]				
1521847910409043969	1521847910409043969	2022-05-04 13:43:11 UTC	2022-05-04	13:43:11	+0000	1445262852109963269	dylan_daryaf	Dylan_Dary		Huft dari awal kelangkaan minyak goreng yang tentu saja berpengaruh ke kenaikan harga, trus naiknya harga pertamax&amp;besi, kelangkaan solar&amp;pertalite, terus harga paket kuota pun ikut mengalami kenaikan, terus kapan pendapatan kami naik, masa cuman harga kebutuhan doang yang naik😔	in	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/Dylan_DaryAf/status/1521847910409043969	False		0								[]				
1521838153216454657	1521671293065515008	2022-05-04 13:04:24 UTC	2022-05-04	13:04:24	+0000	77932066	yudi_armanda	YAS		@DaingKarlin @RamliRizal @jokowi Horang Khaya.. biasanya yg ga pernah ngerasakan perihnya ngantri minyak goreng, pahitnya naik harga gas, sulitnya pertalite karna Pertamax naik, golongan2 ini menganggap aneh rakyat yg protes2 memang.	in	[]	[]	[]	1	0	4	[]	[]	https://twitter.com/yudi_armanda/status/1521838153216454657	False		0								[{'screen_name': 'DaingKarlin', 'name': 'KARLIN DAING', 'id': '1448438118370078724'}, {'screen_name': 'RamliRizal', 'name': 'Dr. Rizal Ramli', 'id': '452992293'}, {'screen_name': 'jokowi', 'name': 'Joko Widodo', 'id': '366987179'}]				
1521832509079638016	1521832509079638016	2022-05-04 12:41:59 UTC	2022-05-04	12:41:59	+0000	1421734204446937091	fadieya	ɐʎǝıpɐℲ		I just found out that oil and gas companies are doing fine cuz harga minyak naik cuz of the Ukraine-Russia war😵‍💫	en	[]	[]	[]	0	0	2	[]	[]	https://twitter.com/fadieya/status/1521832509079638016	False		0								[]				
